SOUTHERN,      96,795
TARAVAL,       81,789
MISSION,       66,1198
CENTRAL,       44,552
NORTHERN,      42,945
TENDERLOIN,    23,113
RICHMOND,       9,561
BAYVIEW,        7,985
INGLESIDE,      5,1368
PARK,           1,640

